Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Compression,Valves per cylinder,Fuel control,Fuel consumption,Greenhouse gases,Trail,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Factory warranty,Comments,Top speed,Wheels,Power/weight ratio,Electrical,Exhaust system,Carrying capacity,Seat,Instruments,Emission details,Reserve fuel capacity,Light,Oil capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Front percentage of weight,Alternate seat height,Max RPM,1/4 mile (0.4 km),Oil filter,Battery
ShineTime ST125 SkyMax-Pro,2012,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",52.4 x 52.4 mm (2.1 x 2.1 inches),Carburettor,CDI,Pressure and splash lubrication,Air,4-speed,Chain   (final drive),"Wet, multiple disc",,"Steel, Single-tube",,Spring and hydraulic fork,,Spring  and hydraulic shock,,120/70-12 ,120/70-12 ,Single disc,155 mm (6.1 inches),Expanding brake (drum brake),78.0 kg (172.0 pounds),"740 mm (29.1 inches) If adjustable, lowest setting.",200 mm (7.9 inches),1075 mm (42.3 inches),5.50 litres (1.45 US gallons),,Electric & kick,,6.7 HP (4.9  kW)) @ 5500 RPM,7.3 Nm (0.7 kgf-m or 5.4 ft.lbs) @ 6500 RPM,9.0:1,2,Single Overhead Cams (SOHC),,,,,1010 mm (39.8 inches),1640 mm (64.6 inches),720 mm (28.3 inches),,,89.0 km/h (55.3 mph),,0.0860 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Generic Vendetta 50,2012,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,Carburettor,,Fresh oil lubrication,Air,Automatic,Belt   (final drive),,Variomatic,,,,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),88.0 kg (194.0 pounds),,,1330 mm (52.4 inches),4.50 litres (1.19 US gallons),White,Electric & kick,,3.4 HP (2.4  kW)) @ 7000 RPM,3.9 Nm (0.4 kgf-m or 2.9 ft.lbs) @ 5000 RPM,,,Single Overhead Cams (SOHC),,,,95.0 kg (209.4 pounds),1170 mm (46.1 inches),1890 mm (74.4 inches),679 mm (26.7 inches),,Austrian brand.,,,0.0381 HP/kg,,,,Dual,,,,,,,,,,,,,,,,,,,,,,
Gilera Nexus,2012,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",75.0 x 63.0 mm (3.0 x 2.5 inches),Injection,Electronic inductive discharge,,Liquid,Automatic,Belt   (final drive),Dry centrifugal type,Automatic twist and go with C.V.T,Double cradle trellis made of high-strength steel tubes,,Telescopic hydraulic fork with ö 35 mm shafts;,94 mm (3.7 inches),Spring with preload and double damper,76 mm (3.0 inches),120/70-15 ,140/60-14 ,Single disc,240 mm (9.4 inches),Single disc,,,,1515 mm (59.6 inches),15.00 litres (3.96 US gallons),Rosso Dragon,Electric,Quasar engine,21.6 HP (15.8  kW)) @ 7250 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,,4,Single Overhead Cams (SOHC),,,,174.0 kg (383.6 pounds),,2110 mm (83.1 inches),780 mm (30.7 inches),,Windshield,,"Black, 5 -spoke",,,Closed loop system with lambda sensor and three-way catalytic converter in exhaust pipe,,,,Euro III,2.80 litres (0.74 US gallons),,,,,,,,,,,,,,,,,,,
Neander Turbo-Diesel,2012,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),Diesel,108.0 x 76.0 mm (4.3 x 3.0 inches),Turbo. Common rail injection. Turbo charger with intercooler.,,Dry sump with three oil-duct system,Oil & air,6-speed,Belt   (final drive),Wet coupling,,Tubular frame with the engine as supporting element,34.0°,"Twin slide tube, 41 mm",120 mm (4.7 inches),"White Power shocks, adjustable",100 mm (3.9 inches),150/80-17 ,260/40-18 ,"Single disc. Bremo, 6-piston",,"Single disc. Bremo, 6-piston",295.0 kg (650.4 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",,1920 mm (75.6 inches),14.00 litres (3.70 US gallons),"Black, white",Electric,"Twin cylinder, 4 stroke, diesel",112.0 HP (81.8  kW)) @ 4200 RPM,214.0 Nm (21.8 kgf-m or 157.8 ft.lbs) @ 2600 RPM,,4,Double Overhead Cams/Twin Cam (DOHC),4.80 litres/100 km (20.8 km/l or 49.00 mpg),111.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,2480 mm (97.6 inches),,,Counter rotating crankshafts cancel out vibrations. Particle filter. German brand.,220.0 km/h (136.7 mph),,0.3797 HP/kg,,,,,,,,,,4.50 seconds,,,,,,,,,,,,,,,,
Honda CRF450R,2012,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",96.0 x 62.1 mm (3.8 x 2.4 inches),"Injection. Programmed Fuel Injection (PGM-FI), 46mm throttle body",Full transistor with electronic advance,,Liquid,5-speed,Chain   (final drive),,#520 Chain; 13T/48T,,27.0°,48mm inverted KYB Air-Oil-Separate (AOS) with rebound and compression-damping adjustability,310 mm (12.2 inches),"Pro-Link KYB single shock with spring preload, rebound damping adjustability, and compression damping adjustment separated into low-speed and high-speed",315 mm (12.4 inches),,,Single disc. Twin-piston calipers,240 mm (9.4 inches),Single disc,,"953 mm (37.5 inches) If adjustable, lowest setting.",330 mm (13.0 inches),1491 mm (58.7 inches),5.68 litres (1.50 US gallons),Red,Electric & kick,"Unicam®, four-valve; 36mm intake, titanium; 30mm exhaust, steel",,,12.0:1,4,Single Overhead Cams (SOHC),,,116 mm (4.6 inches),108.9 kg (240.0 pounds),,,,,Model ID: CRF450R,,,,,,,,,Meets current CARB and EPA standards.,,,,,,,,,,,,,,,,,,,,
Yamaha Maxam 3000 Concept,2012,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",248.0 ccm (15.13 cubic inches),"Single cylinder, four-stroke",66.0 x 73.0 mm (2.6 x 2.9 inches),Injection,TCI,Wet sump,Liquid,Automatic,Belt   (final drive),,,"Aluminium, Monocoque frame",,Twin shock,,Swing arm,,120/70-13 ,130/70-13 ,Double disc,,Single disc,201.0 kg (443.1 pounds),"655 mm (25.8 inches) If adjustable, lowest setting.",105 mm (4.1 inches),1650 mm (65.0 inches),14.00 litres (3.70 US gallons),"Black/white, blue/white, silver",Electric,,20.1 HP (14.7  kW)) @ 7500 RPM,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 5500 RPM,,4,Double Overhead Cams/Twin Cam (DOHC),3.92 litres/100 km (25.5 km/l or 60.01 mpg),90.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,Also called CP250 Maxam.,,,0.1001 HP/kg,,,,Leather chair,,,,,,,,,,,,,,,,,,,,,,
Keeway Agora,2012,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.8 ccm (3.04 cubic inches),"Single cylinder, four-stroke",40.0 x 39.2 mm (1.6 x 1.5 inches),Carburettor,C.D.I.,,Air,Automatic,Belt   (final drive),Automatic,,Steel,,,,,,3.50-10 ,"3,50-10 ",Single disc,,Expanding brake (drum brake),85.0 kg (187.4 pounds),,130 mm (5.1 inches),1240 mm (48.8 inches),5.20 litres (1.37 US gallons),White,Electric & kick,,3.6 HP (2.6  kW)) @ 8500 RPM,3.0 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 6500 RPM,12.8:1,,,1.90 litres/100 km (52.6 km/l or 123.80 mpg),44.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,89.0 kg (196.2 pounds),1095 mm (43.1 inches),1845 mm (72.6 inches),675 mm (26.6 inches),,Also available in  two-stroke version with 4.0 Nm torque.,,,0.0426 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Turbine Technologies Streetfighter,2012,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Gas turbine,,,,Dry-sump,Liquid,2-speed,,,,Tubular aluminum alloy. Carbon fiber fairings.,27.0°,"Inverted fork, 55 mm",,"Mono-shock adjustable, oleo-pneumatic, Ohlins",,120/60-ZR17 ,240/50-ZR17 ,"Double disc. Bremo, 4 piston calipers",320 mm (12.6 inches),"Single disc. Bremo, 4 piston calipers",,"800 mm (31.5 inches) If adjustable, lowest setting.",,1727 mm (68.0 inches),34.00 litres (8.98 US gallons),Any colors.,Electric,Rolls Royce Allison gas turbine. Optional 420-HP turbine engine with approximately 500-ft/lbs of torque..,320.0 HP (233.6  kW)) @ 6000 RPM,576.3 Nm (58.8 kgf-m or 425.1 ft.lbs) @ 2000 RPM,,,,,,,,,,,,"Rear-mounted camera with LCD color monitor, plus side mirrors. Model also called MTT Streetfighter.",402.0 km/h (249.8 mph),17-in carbon fiber; Dymag whelels,,,,,Single or double seat,,,6.00 litres (1.59 US gallons),,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,
Boss Hoss BHC-3 LS300,2012,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,4807.0 ccm (293.32 cubic inches),"V8, four-stroke",,Injection. Multi-port,,,Liquid,Automatic,,,2-speed semi-auto transmission. Final drive: Gates polychain belt.,,33.0°,"Inverted forks, 63 mm, adjustable preload,",89 mm (3.5 inches),"Dual 13.0 inch coilover shocks, adjustable preload",,130/90-16 ,230/60-15 ,Double disc. Dual 4-piston caliper,,Single disc. 4-piston caliper,"499.0 kg (1,100.0 pounds)","673 mm (26.5 inches) If adjustable, lowest setting.",114 mm (4.5 inches),2032 mm (80.0 inches),32.17 litres (8.50 US gallons),,Electric,Aluminum block - 6 bolt main. Aluminum cylinders,295.0 HP (215.3  kW)) @ 4800 RPM,413.6 Nm (42.2 kgf-m or 305.1 ft.lbs) @ 4500 RPM,9.1:1,,Double Overhead Cams/Twin Cam (DOHC),,,,,,2692 mm (106.0 inches),,"12 month., unlimited miles excluding engine  and  drivetrain",,,,0.5912 HP/kg,,2.5 inch with dual mufflers,,,,,,,,,,,,,,,,,,,,,,,,
Kreidler Supermoto125 DD,2012,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,Air,6-speed,Chain   (final drive),,,,,Upside down telescopic fork,,"Hydraulic shock absorbers, adjustable",,110/70-17 ,130/70-17 ,Single disc. Wave disk,210 mm (8.3 inches),Single disc. Wave disk,124.0 kg (273.4 pounds),"870 mm (34.3 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),10.50 litres (2.77 US gallons),Black/red,Electric,,10.9 HP (8.0  kW)) @ 9500 RPM,,,,Overhead Cams (OHC),,,,134.0 kg (295.4 pounds),1155 mm (45.5 inches),2130 mm (83.9 inches),850 mm (33.5 inches),,German brand.,101.4 km/h (63.0 mph),"Black rims, spoked",0.0879 HP/kg,12 Volt,Aluminium exhaust pipe,,,Digital cockpit,Euro III,,,,,,,,,,,,,,,,,,,,
Victory Vegas,2012,Custom / cruiser," 3.0  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,,,Oil & air,6-speed,Belt   (final drive),"Wet, multi-plate",Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,,32.9°,"Conventional telescopic fork, 43 mm diameter, 5.1 in / 130 mm travel",,"Single, mono-tube gas, cast aluminum with rising rate linkage, 3.0 in / 75 mm travel, preload adjustable spring",,90/90-21 ,180/55-B18 ,Double disc. Floating rotor with 4-piston calipers,300 mm (11.8 inches),Single disc. Floating rotor with 2-piston caliper,292.6 kg (645.0 pounds),"640 mm (25.2 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1684 mm (66.3 inches),17.03 litres (4.50 US gallons),"Imperial Blue  and  Pearl White, Two Tone Sunset Red  and  Pearl White",,"50° V-Twin. Self-adjusting cam chains, hydraulic lifters.",97.0 HP (70.8  kW)),153.2 Nm (15.6 kgf-m or 113.0 ft.lbs),9.4:1,4,Single Overhead Cams (SOHC),,,124 mm (4.9 inches),,,2438 mm (96.0 inches),,,,,,0.3315 HP/kg,,Staggered slash-cut dual exhaust with crossover,,,,,,,4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,
Victory Cross Country,2012,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1737.1 ccm (106.00 cubic inches),"V2, four-stroke",101.0 x 108.0 mm (4.0 x 4.3 inches),Injection. Electronic Fuel Injection with dual 45mm throttle body,,,Oil & air,6-speed,Belt   (final drive),"Wet, multi-plate",Carbon Fiber Reinforced Belt. Primary drive: Gear drive with  torque compensator.,,29.0°,"Inverted cartridge telescopic fork, 43 mm diameter",130 mm (5.1 inches),"Single, mono-tube gas, cast aluminum with constant rate linkage, air adjustable",120 mm (4.7 inches),130/70-R18 ,180/60-R16 ,Double disc. ABS,300 mm (11.8 inches),Single disc. ABS,347.0 kg (765.0 pounds),"667 mm (26.3 inches) If adjustable, lowest setting.",147 mm (5.8 inches),1669 mm (65.7 inches),21.95 litres (5.80 US gallons),"Solid Black, Solid Imperial Blue, Two Tone Sunset Red  and  Silver Graphics",Electric,"50° V-Twin. Self-adjusting cam chains, hydraulic lifters.",97.0 HP (70.8  kW)),147.8 Nm (15.1 kgf-m or 109.0 ft.lbs),9.4:1,4,Single Overhead Cams (SOHC),,,142 mm (5.6 inches),,,2652 mm (104.4 inches),,,,,,0.2795 HP/kg,12 volts / 18 amp hours battery.,Split dual exhaust with crossover,,,,,,,4.50 litres (4.76 US quarts),,,,,,,,,,,,,,,,,
Vespa LX 150 i.e.,2012,Scooter," 2.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",150.0 ccm (9.15 cubic inches),"Single cylinder, four-stroke",62.5 x 48.5 mm (2.5 x 1.9 inches),Injection. EFI,,"Wet sump, chain-driven lobe pump; intake and delivery filters",Air,Automatic,Belt   (final drive),Automatic dry centrifuge with damper buffers,CVT transformer with torque slave,Load-bearing sheet steel chassis,,Single arm with helical spring,,Helical spring with adjustable 4-position pre-load,,110/70-11 ,120/70-11 ,Single disc. Hydraulic,110 mm (4.3 inches),Expanding brake (drum brake),110.2 kg (243.0 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",,1280 mm (50.4 inches),8.60 litres (2.27 US gallons),"Black, Celeste Blue, Dragon Red, Espresso Bronze, White",Electric & kick,Catalytic Hi-PER4,11.7 HP (8.5  kW)) @ 8000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 6250 RPM,,2,Single Overhead Cams (SOHC),3.24 litres/100 km (30.9 km/l or 72.60 mpg),75.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,1801 mm (70.9 inches),740 mm (29.1 inches),,,95.0 km/h (59.0 mph),,0.1058 HP/kg,,,,,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,
Kawasaki VN 900 Classic,2012,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",88.0 x 74.2 mm (3.5 x 2.9 inches),Injection. 34 mm x 2 with dual throttles ,Digital,,Liquid,5-speed,Chain   (final drive),,,"Double-cradle, steel ",32.0°,41 mm telescopic fork with 7-way preload,150 mm (5.9 inches),Uni-Trak,100 mm (3.9 inches),130/90-16 ,180/70-15 ,Single disc,270 mm (10.6 inches),Single disc,,,,1650 mm (65.0 inches),20.00 litres (5.28 US gallons),Black/gray,Electric,,49.6 HP (36.2  kW)),78.0 Nm (8.0 kgf-m or 57.5 ft.lbs),9.5:1,4,Single Overhead Cams (SOHC),,,160 mm (6.3 inches),282.0 kg (621.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Bellavita 125i,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",52.4 x 52.4 mm (2.1 x 2.1 inches),Injection. EFI,E.C.U,Compress  and  Splash  Combined,Liquid,,Belt   (final drive),,CVT,,,,,,,120/70-12 ,130/70-12 ,Single disc,220 mm (8.7 inches),Single disc,143.5 kg (316.4 pounds),,,,9.00 litres (2.38 US gallons),"White, cream, red, burgundy, black",Electric,,14.8 HP (10.8  kW)) @ 8750 RPM,,11.0:1,,,,,,,1324 mm (52.1 inches),1987 mm (78.2 inches),760 mm (29.9 inches),,Made in Taiwan. Also called TGB Bellvita 125EFI.,,,0.1028 HP/kg,12V 12AH battery.,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Superlight 125,2012,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",56.6 x 49.5 mm (2.2 x 1.9 inches),Carburettor,C.D.I.,,Air,5-speed,,"Wet, multidisk",,,,Telescopic fork,,Dual shocks,,110/90-16 ,130/90-16 ,Single disc,,Expanding brake (drum brake),134.0 kg (295.4 pounds),,120 mm (4.7 inches),1440 mm (56.7 inches),15.00 litres (3.96 US gallons),"Grey, black",Electric & kick,,9.4 HP (6.8  kW)) @ 9100 RPM,8.4 Nm (0.9 kgf-m or 6.2 ft.lbs) @ 6000 RPM,9.0:1,,Single Overhead Cams (SOHC),2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,1025 mm (40.4 inches),2260 mm (89.0 inches),800 mm (31.5 inches),,Windscreen.,80.0 km/h (49.7 mph),,0.0700 HP/kg,,,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,
Super Motor 25,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,48.0 ccm (2.93 cubic inches),"Single cylinder, four-stroke",39.0 x 41.1 mm (1.5 x 1.6 inches),Carburettor,CDI,,Air,3-speed,Chain   (final drive),Automatic,,,,,,,,2.50-17 ,"2,75-17 ",Expanding brake (drum brake),,Expanding brake (drum brake),80.0 kg (176.4 pounds),,,,3.00 litres (0.79 US gallons),,Electric & kick,,,,,,,,,,,,,,,Chinese made scooter,25.0 km/h (15.5 mph),,,12V 3Ah maintenance free,,,,,,,,0.80 litres (0.85 US quarts),,,,,,,,,,,,,,,,,
Suzuki V-Strom 650 ABS Adventure,2012,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",81.0 x 62.7 mm (3.2 x 2.5 inches),Injection. 10-hole fuel injectors for high combustion efficiency,Electronic,Wet sump,Oil & air,6-speed,Chain   (final drive),,6-speed constant mesh,,,"Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,110/80-R19 ,150/70-R17 ,Double disc. ABS,260 mm (10.2 inches),Single disc. ABS,,"835 mm (32.9 inches) If adjustable, lowest setting.",175 mm (6.9 inches),1560 mm (61.4 inches),22.00 litres (5.81 US gallons),Black,Electric,90-degree V-twin,67.0 HP (48.9  kW)) @ 8000 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 6400 RPM,11.3:1,4,Double Overhead Cams/Twin Cam (DOHC),,,,235.0 kg (518.1 pounds),1143 mm (45.0 inches),2290 mm (90.2 inches),,12 month unlimited mileage limited warranty.,3-way height-adjustable windscreen.,,,,,,,,"Analog tachometer and brightness-adjustable LCD speedometer. LCD readouts include odometer, dual trip meter, gear position, coolant and ambient temperature, average fuel consumption, fuel gauge and clock. ",,,,,,,,,,,,,,,,,,,,,
Xispa XPA 280 Racing,2012,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,280.0 ccm (17.09 cubic inches),"Single cylinder, two-stroke",,Carburettor. Keihin 28,CDI digital (Kukusan),,,5-speed,Chain   (final drive),"Multidisc, hydraulic",,Crome molybdeum,,"Marzocchi telehydraulic fork, 40 mm",,Olle Monoshock,,,,Single disc,,Single disc,65.0 kg (143.3 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",315 mm (12.4 inches),1325 mm (52.2 inches),,Black/bronze,Kick,,,,,,,,,,,,2015 mm (79.3 inches),820 mm (32.3 inches),,Made in Spain.,,Michelin X-Light tyres,,,,,,,,,,0.50 litres (0.53 US quarts),,,,,,,,,,,,,,,,,
Electric City Ventys 340,2012,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,Air,,,,,Steel,,,,,,130/60-13 ,130/60-13 ,Single disc,,Single disc,130.0 kg (286.6 pounds),,,,,"White, black",Electric,,4.0 HP (2.9  kW)),,,,,,,,,730 mm (28.7 inches),,,,Lithium battery 60V 40 Ah. 4-5 hour recharge time. 1500 discharge/recharge cycles. Range 50-70 km. Sold in France.,85.0 km/h (52.8 mph),,0.0309 HP/kg,Dual front light,,,,,,,,,,,,,,,,,,,,,,,,,
NCR Leggera,2012,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",,"Injection. EFI Magneti Marelli, 45mm throttle bodies.",,"2 into 1 into 2 configuration with catalitic converter and lambda system. Exhaust is in titanium and the mufflers are in carbon. Design by NCR and built by Zard, the silencers are 45% lighter than stock.",Oil & air,6-speed,Chain   (final drive),,,"Trellis frame made entirely of Grade 9 Titanium. Weight: 4,8 Kg (10.6 lbs)",,"Ohlins titanium nitride coated 46mm full adjustable with NCR Corse valving, adjustable offset NCR triple clamps made in avionic aluminum. NCR Corse billet fork bottoms",,"NCR- Ohlins monoshock, fully adjustable including low and high speed circuits and configured by NCR CORSE",,120/70-R17 ,180/55-R17 ,"Double disc. WAVE rotors, radial monoblock Brembo Racing calipers with 4 pistons and 2 pads.",200 mm (7.9 inches),"Single disc. WAVE rotor, Brembo 2 piston caliper",157.0 kg (346.1 pounds),,,1400 mm (55.1 inches),,Grey/silver. Other colors optional.,Electric,Ducati DS 1100 engine. Optional 125 HP bore.,90.0 HP (65.7  kW)) @ 7750 RPM,,,2,Desmodromic valve control,,,,,,,,,"Rear ward and adjustable NCR rear set in Al 7075 and titanium, passenger peg support in tiatnium, custom gas cap by NCR in Al7075, billet NCR CORSE fork bottoms and fully adjustable triple clamps in avionic aluminum. Adjustable ride height adjuster and rear single sided flange in aluminum. ",,Carbon fiber wheels from BST,0.5732 HP/kg,,"Full exhaust 2 into 1 into 2 configuration with catalitic converter and lambda system. Exhaust is in titanium and the mufflers are in carbon. Design by NCR and built by Zard, the silencers are 45% lighter than stock.",,Biposto leather seat by Schedoni per NCR.,OEM Ducati Hypermotard,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R600,2012,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, two-stroke",67.0 x 42.5 mm (2.6 x 1.7 inches),Injection. Suzuki Dual Throttle Valve (SDTV) fuel injection uses fine-spray 8-hole injectors for improved fuel atomization.,Electronic ignition (Transistorized),Wet sump,Liquid,6-speed,Chain   (final drive),Back-torque-limiting clutch,"RK525SMOZ8, 114 links",Twin-spar aluminum cradle frame,23.9°,Showa Big Piston front-Fork,130 mm (5.1 inches),"Link type, coil spring, oil damped",136 mm (5.4 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. Radial-mounted, four-piston Brembo monoblock calipers.",220 mm (8.7 inches),Single disc. Bremo,,"810 mm (31.9 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1385 mm (54.5 inches),17.00 litres (4.49 US gallons),"Metallic Triton Blue/Glass Splash White, Glass Sparkle Black",Electric,"Hot-peened conrods, chrome-nitride-coated upper compression and oil control rings, and pentagonal ventilation holes",124.0 HP (90.5  kW)) @ 13500 RPM,69.6 Nm (7.1 kgf-m or 51.3 ft.lbs) @ 11500 RPM,12.9:1,4,Double Overhead Cams/Twin Cam (DOHC),,,97 mm (3.8 inches),187.0 kg (412.3 pounds),1135 mm (44.7 inches),2030 mm (79.9 inches),710 mm (28.0 inches),12 Month Limited Warranty,,,,,,4-into-1 stainless-steel ,,,"Analog tachometer with LCD readouts of the speedometer, odometer, dual trip meter, reserve trip meter, clock, coolant temperature/oil pressure indicator, S-DMS and gear position indicators.",,,,,,,,,,,,,,,,,,,,,
eCRP 1.4,2012,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,Air,,,,,Cast aluminium double beam. Aluminium alloy swin arm.,,Marzocchi “Upside-Down“ fork,,OHLINS Hydraulic progressive shock absorber,,120/70-17 ,165/70-17 ,Double disc. Floating Wave disk,220 mm (8.7 inches),Single disc. Wave disk,160.0 kg (352.7 pounds),,,1376 mm (54.2 inches),,White,Electric,N.2 DC motors with a controller DC,,,,,,,,,,,,,,"LipO batteries 92,5V. Current 80Ah – 95Ah. Power 7,4Kwh – 8,9Kwh. 40Km range.",220.0 km/h (136.7 mph),Forged aluminium Marchesin / OZi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX400X,2012,ATV," 3.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",85.0 x 70.0 mm (3.3 x 2.8 inches),,CD with electronic advance,Dry sump,Air,5-speed,Chain   (final drive),Manual,O-ring-sealed chain,,,"Independent double-wishbone with Showa shocks, five-position spring preload adjustability",208 mm (8.2 inches),Pro-Link fully adjustable single Showa shock,231 mm (9.1 inches),22/7-10 ,20/10-9 ,Double disc,220 mm (8.7 inches),Single disc,,"836 mm (32.9 inches) If adjustable, lowest setting.",104 mm (4.1 inches),1217 mm (47.9 inches),9.84 litres (2.60 US gallons),Black/Red,,,,,12.0:1,,,,,,185.1 kg (408.0 pounds),1118 mm (44.0 inches),1821 mm (71.7 inches),1156 mm (45.5 inches),One year,Model ID: TRX400X,,,,,,,,,Meets current California Air Resources Board (CARB) off-road emissions standards.,1.51 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,
