Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Instruments,Comments,Driveline,Carrying capacity,Wheels,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),Trail,"Weight incl. oil, gas, etc",Oil capacity,Light,Top speed,Emission details,Factory warranty,Reserve fuel capacity,Seat,Electrical,0-100 km/h (0-62 mph),Alternate seat height,Max RPM,Modifications compared to previous model,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Tire pressure front,Tire pressure rear,Fork tube size,Engine oil,Chain size,1/4 mile (0.4 km),Chain links,Sprockets
Keeway Blackster 250i,2014,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",248.9 ccm (15.19 cubic inches),"V2, four-stroke",19.2 HP (14.0  kW)) @ 8500 RPM,18.7 Nm (1.9 kgf-m or 13.8 ft.lbs) @ 5750 RPM,9.4:1,49.0 x 66.0 mm (1.9 x 2.6 inches),2,Injection. EFI,Single Overhead Cams (SOHC),TLI,Pressure splash lubrication,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",Arch bar truck,Telescopic forks,120 mm (4.7 inches),Telescopic coil spring oil damped,70 mm (2.8 inches),110/90-16 ,120/90-16 ,Single disc,220 mm (8.7 inches),Single disc,170.0 kg (374.8 pounds),0.1128 HP/kg,"688 mm (27.1 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),2300 mm (90.6 inches),840 mm (33.1 inches),140 mm (5.5 inches),1530 mm (60.2 inches),13.50 litres (3.57 US gallons),Black,Electric,Analogue,"Keeway is the American and European brand name of Qianjiang, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauris Freccia 50 4T,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, four-stroke",2.8 HP (2.1  kW)) @ 6500 RPM,,,,,Carburettor,,,,Air,Automatic,Belt   (final drive),,Steel,,,,,120/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),89.0 kg (196.2 pounds),0.0317 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),1925 mm (75.8 inches),675 mm (26.6 inches),,,5.50 litres (1.45 US gallons),"Red, white, black",Electric,,Retro scooter sold in Austria and some other EU countries.,CVT automatic,Top box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sym Orbit II 50 TS,2014,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,,11.8:1,39.0 x 41.5 mm (1.5 x 1.6 inches),,"Carburettor. CV type, 18 mm",Single Overhead Cams (SOHC),,,Air,Automatic,Belt   (final drive),,Pipe under bone,Telescopic Fork,,Unit Swing Arm,,120/70-12 ,130/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),110.0 kg (242.5 pounds),,,1125 mm (44.3 inches),1905 mm (75.0 inches),690 mm (27.2 inches),,1325 mm (52.2 inches),5.20 litres (1.37 US gallons),Orange,Electric & kick,,Made in Taiwan.,,,"Black, 5-spoke rims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Deluxe,2014,Custom / cruiser," 2.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",,133.8 Nm (13.6 kgf-m or 98.7 ft.lbs),9.6:1,98.4 x 111.1 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection ,,,,Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,,,,,MT90-16 ,MU85-B16 ,Single disc. 4-piston,,Single disc. 2-piston,313.0 kg (690.0 pounds),,"622 mm (24.5 inches) If adjustable, lowest setting.",,2405 mm (94.7 inches),,122 mm (4.8 inches),1638 mm (64.5 inches),18.93 litres (5.00 US gallons),"Sand Pearl/Canyon Brown Pearl, Hard Candy Voodoo Purple Flake, Amber Whiskey/Brilliant Silver, Mysterious Red Sunglo/Blackened Cayenne Sunglo,Morocco Gold Pearl,Big Blue Pearl, Vivid Black
",Electric,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,"Primary chain, 34/46 ratio",,Steel Laced,"Air-cooled, Twin Cam 103B™",5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Chrome, straight over/under shotgun exhaust with dual tapered mufflers",32.1°,147 mm (5.8 inches),330.2 kg (728.0 pounds),3.30 litres (3.49 US quarts),"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,,,,,,,,,,,,,,,,,,,,,,,,,
Romet ZK 125,2014,Allround," 3.1  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",13.3 HP (9.7  kW)),,,,,Carburettor,,,,Air,5-speed,Chain   (final drive),,Steel,Telescopic fork,,Twin shocks,,,,Single disc,,Expanding brake (drum brake),,,,1070 mm (42.1 inches),1970 mm (77.6 inches),820 mm (32.3 inches),,,,"Silver, black",Electric & kick,,Sold in Poland.,,,5-spoke black,,,,,,,,,,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Honda CD Dream 70,2014,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,72.0 ccm (4.39 cubic inches),"Single cylinder, four-stroke",,,8.8:1,47.0 x 41.4 mm (1.9 x 1.6 inches),,Carburettor,Overhead Cams (OHC),,,Air,4-speed,Chain   (final drive),,Backbone,,,,,2.25-17 ,2.50-17 ,Expanding brake (drum brake),,Expanding brake (drum brake),82.0 kg (180.8 pounds),,,,1900 mm (74.8 inches),,,,9.00 litres (2.38 US gallons),"Red, black/green",Kick,,Sold in Pakistan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJS NAC12 125 MK2,2014,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Twin, four-stroke",11.4 HP (8.3  kW)) @ 10500 RPM,,,44.0 x 40.0 mm (1.7 x 1.6 inches),,Carburettor,,Coil CDI,,Liquid,5-speed,Chain   (final drive),"Wet, multiplate",,Telescopic fork,,Twin reservoir shocks,,100/80-17 ,130/70-17 ,Double disc,,Single disc,153.0 kg (337.3 pounds),0.0744 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,1510 mm (59.4 inches),18.00 litres (4.76 US gallons),"Red, white, black",Electric,,Sold in the UK.,,,,Balance shaft,,,,,,,,,,Euro 3,12 months,,,,,,,,,,,,,,,,,,,,,,,,
Can-Am Outlander L DPS 500,2014,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.6 ccm (30.49 cubic inches),"V2, four-stroke",,,,82.0 x 47.0 mm (3.2 x 1.9 inches),4,"Injection. 46 mm Throttle Body, 2 Siemens VDO injectors",Single Overhead Cams (SOHC),,,Liquid,,Shaft drive (cardan)   (final drive),,Surrounding Spar Technology (SST) G2,Double A-arm,229 mm (9.0 inches),Torsional Trailing arm Independent (TTI),,25/8-12 ,25/10-12 ,Double disc. Hydraulic. Two-piston calipers. ,214 mm (8.4 inches),Single disc. Hydraulic. Two-piston calipers. ,318.9 kg (703.0 pounds),,"859 mm (33.8 inches) If adjustable, lowest setting.",1245 mm (49.0 inches),2108 mm (83.0 inches),1168 mm (46.0 inches),267 mm (10.5 inches),1295 mm (51.0 inches),20.44 litres (5.40 US gallons),"Yellow, gray, camo",Electric,Multifunction digital gauge,Dynamic Power Steering (DPS),Selectable 2WD / 4WD,,Steel Black,Rotax engine,,,,,,,,70-W from dual 35-W front light / brake light,,,6 months limited warranty + 54 month B.E.S.T. extended warranty,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Platina 100,2014,Classic," 2.7  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.3 ccm (6.06 cubic inches),"Single cylinder, four-stroke",8.2 HP (6.0  kW)) @ 7500 RPM,8.1 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,,,,,,Digital CDI  and  TRICS III,,Air,4-speed,Chain   (final drive),,,"Hydraulic, Telescopic Type",125 mm (4.9 inches),"Hydraulic, Telescopic Type",125 mm (4.9 inches),2.75-17 ,3.00-17 ,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,,,1090 mm (42.9 inches),1990 mm (78.3 inches),770 mm (30.3 inches),,1275 mm (50.2 inches),13.00 litres (3.43 US gallons),"Red, black, black/maroon",Electric,,Bike made in India.,Constant mesh,,,,1.35 litres/100 km (74.1 km/l or 174.24 mpg),31.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,113.0 kg (249.1 pounds),,,,,,2.00 litres (0.53 US gallons),,,,,,,,,,,,,,,,,,,,,,,
Triumph Thunderbird,2014,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1597.0 ccm (97.45 cubic inches),"Twin, four-stroke",86.0 HP (62.8  kW)) @ 4850 RPM,146.0 Nm (14.9 kgf-m or 107.7 ft.lbs) @ 2750 RPM,9.7:1,103.8 x 103.8 mm (4.1 x 4.1 inches),,Injection. Multipoint sequential electronic fuel injection. progressive linkage on throttle,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,Liquid,6-speed,Belt   (final drive),Wet. multi-plate,Tubular Steel. twin spine,Showa 47mm forks. 120mm travel,,Showa chromed spring twin shocks with 5 position adjustable preload. 95mm rear wheel travel,,120/70-R19 ,200/50-R17 ,Double disc. Nissin 4-piston fixed calipers. ABS.,310 mm (12.2 inches),Single disc. Brembo 2-piston floating caliper. ABS,,,"700 mm (27.6 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2340 mm (92.1 inches),880 mm (34.6 inches),,1615 mm (63.6 inches),22.00 litres (5.81 US gallons),"Phantom Black, Lava Red/Silver Frost, Caspian Blue/Phantom Black
",,"Analogue speedometer featuring integrated rev counter, scroll button on handlebars, LCD trip computer, fuel gauge and clock",,Toothed Belt,,Cast aluminum alloy 5-spoke,270º firing interval,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Chromed twin-skin stainless steel 2 into 1 into 2. tandem large-volume catalysts in centralized catbox. chrome-plated exhaust,32.0°,151 mm (5.9 inches),339.0 kg (747.4 pounds),4.20 litres (4.44 US quarts),,,,24 months unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,
Vmoto Light Xunying,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,0.5 HP (0.3  kW)),,,,,,,,,Air,Automatic,Belt   (final drive),,,Telescopic fork,,Dual shocks,,90/90-12 ,90/90-12 ,Single disc,,Expanding brake (drum brake),,,,,1800 mm (70.9 inches),,,,,Red/white,Electric,,40V/12-20Ah Silicone lead-acid battery options. Range 35-55 km. 6 hour charging.,CTV Automatic,,,,,,,,,,,,35.0 km/h (21.7 mph),No direct emissions,,,2-person seat,,,,,,,,,,,,,,,,,,,,,,
Honda 400X,2014,ATV," 2.9  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",397.0 ccm (24.22 cubic inches),"Single cylinder, four-stroke",,,12.0:1,85.0 x 70.0 mm (3.3 x 2.8 inches),,Carburettor. 38mm piston-valve with accelerator pump,,CD with electronic advance,Dry sump,Air,5-speed,Chain   (final drive),Manual,,"Independent double-wishbone with Showa® shocks, five-position spring preload adjustability; 8.2 inches travel",208 mm (8.2 inches),Pro-Link® fully adjustable single Showa shock; 9.1 inches travel,231 mm (9.1 inches),22/7-10 ,20/10-9 ,Double disc. Hydraulic. ,220 mm (8.7 inches),Single disc,,,"836 mm (32.9 inches) If adjustable, lowest setting.",1118 mm (44.0 inches),1821 mm (71.7 inches),1156 mm (45.5 inches),104 mm (4.1 inches),1217 mm (47.9 inches),9.84 litres (2.60 US gallons),Red,Electric,,,O-ring-sealed chain,,,,,,,,,185.1 kg (408.0 pounds),,,,Meets current California Air Resources Board (CARB) off-road emissions standards.,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST1300A Pan-European,2014,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",117.0 HP (85.4  kW)) @ 8000 RPM,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6500 RPM,10.8:1,78.0 x 66.0 mm (3.1 x 2.6 inches),4,"Injection. PGM-FI with automatic enricher circuit, four-36mm throttle bodies, 8 holes per injector",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with 3-D mapping and electronic advance,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,45mm HMAS cartridge fork,117 mm (4.6 inches),HMAS gas-charged single shock with five-position spring-preload adjustability,122 mm (4.8 inches),120/70-ZR18 ,170/60-ZR17 ,Double disc. ABS. Floating discs. ,316 mm (12.4 inches),Single disc. ABS. ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1491 mm (58.7 inches),29.14 litres (7.70 US gallons),"Black, red",Electric,,,Enclosed shaft with integrated dampers,,,,6.72 litres/100 km (14.9 km/l or 35.00 mpg),155.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,98 mm (3.9 inches),331.1 kg (730.0 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Speed Triple R ABS,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1050.0 ccm (64.07 cubic inches),"In-line three, four-stroke",135.0 HP (98.5  kW)) @ 9250 RPM,111.0 Nm (11.3 kgf-m or 81.9 ft.lbs) @ 7750 RPM,12.0:1,79.0 x 71.4 mm (3.1 x 2.8 inches),4,Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,6-speed,Chain   (final drive),Wet. multi-plate,"Aluminum beam twin-spar. Single-sided, aluminum alloy with eccentric chain adjuster swing arm.",Showa 43mm upside down forks with dual rate springs and adjustable preload. rebound and compression damping. 120mm travel,,Showa Monoshock with adjustable preload and rebound and compression damping. 134mm travel,,120/70-ZR17 ,180/55-ZR17 ,Double disc. Brembo 4-piston 4-pad radial calipers. ABS.,255 mm (10.0 inches),Single disc. Nissin single 2-piston sliding caliper. ABS.,,,"825 mm (32.5 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),2100 mm (82.7 inches),795 mm (31.3 inches),,1435 mm (56.5 inches),17.50 litres (4.62 US gallons),"Matt Crystal White, Phantom Black
",Electric,"LCD multi-functional instrument pack with digital speedometer, fuel gauge, trip computer, analogue tachometer, lap timer, programmable gear change lights, service interval announcement display, TPMS ready",,X ring chain,,Forged aluminium alloy 5 spoke,,6.92 litres/100 km (14.5 km/l or 33.99 mpg),160.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless Steel 3 into 1 into 2. twin high level stainless steel pipes.,22.8°,91 mm (3.6 inches),212.0 kg (467.4 pounds),3.80 litres (4.02 US quarts),,,,2 year warranty unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,
Daelim S1 125,2014,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",11.5 HP (8.4  kW)) @ 8700 RPM,,10.8:1,56.0 x 50.7 mm (2.2 x 2.0 inches),4,Injection,,Electric/ECU,,Oil & air,Automatic,Chain   (final drive),,Under Bone,Telescopic fork,,Swing Arm,,120/70-13 ,130/60-13 ,Single disc,,Single disc,127.0 kg (280.0 pounds),0.0906 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,2025 mm (79.7 inches),778 mm (30.6 inches),150 mm (5.9 inches),1350 mm (53.1 inches),9.50 litres (2.51 US gallons),"White, black, blue",Electric,,,CVT Twist  and  Go,,,,,,,,,,,,,Euro III,2 years,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R750Z,2014,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,12.5:1,70.0 x 48.7 mm (2.8 x 1.9 inches),,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Wet sump,Liquid,6-speed,Chain   (final drive),,Twin-spar aluminum cradle frame,"Inverted Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,120/70-ZR17 ,180/55-ZR17 ,Double disc. Brembo,,Single disc,,,"810 mm (31.9 inches) If adjustable, lowest setting.",,2030 mm (79.9 inches),710 mm (28.0 inches),130 mm (5.1 inches),1390 mm (54.7 inches),19.00 litres (5.02 US gallons),,Electric,,,"RK525ROZ5Y, 116 links, Chain",,,,,,,,,190.0 kg (418.9 pounds),,,,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,
Avinton Cult,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1645.0 ccm (100.38 cubic inches),"V2, four-stroke",120.0 HP (87.6  kW)) @ 5750 RPM,168.0 Nm (17.1 kgf-m or 123.9 ft.lbs) @ 3000 RPM,10.3:1,101.6 x 101.0 mm (4.0 x 4.0 inches),,Carburettor. Keihin FCR 46mm/diam. carburator with flat valve; air intake butterflies managed electronically,,C.D.I.,Dry sump,Air,,Chain   (final drive),,"Tubular with suspended engine, oil circuit integrated in the frame",,,,,120/70-17 ,180/55-17 ,Single disc,,Single disc,175.0 kg (385.8 pounds),0.6857 HP/kg,"790 mm (31.1 inches) If adjustable, lowest setting.",,,,,1380 mm (54.3 inches),13.00 litres (3.43 US gallons),Custom,Electric,Digital,French brand.,Kevlar belt primary,,10-spoke aluminium,S and S V-Twin at 45 degree,,,,22.0°,85 mm (3.3 inches),,,,262.0 km/h (162.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXT Racing 250,2014,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.7 ccm (15.11 cubic inches),"Single cylinder, two-stroke",,,,72.5 x 60.0 mm (2.9 x 2.4 inches),,Carburettor. Keihin PWK 28. Intake by reed valve,,CDI digital magnetic flywheel,,Liquid,6-speed,Chain   (final drive),GG 1/3 hydraulic-diaphragm-system,Chrom-Molybdenum tubular frame,Marzocchi 40 mm Aluminium Right-Sight-Up,177 mm (7.0 inches),Reiger (2-way) hydraulic mono shock absorber,164 mm (6.5 inches),2.75-21 ,4.00-18 ,"Single disc. Floating disk, 4-piston caliper",150 mm (5.9 inches),Single disc. 2-piston caliper,66.5 kg (146.6 pounds),,"650 mm (25.6 inches) If adjustable, lowest setting.",,2045 mm (80.5 inches),,,1325 mm (52.2 inches),2.50 litres (0.66 US gallons),Red/black/white,Kick,,Bike made in Spain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Wave 110i,2014,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",109.1 ccm (6.66 cubic inches),"Single cylinder, four-stroke",9.4 HP (6.9  kW)) @ 8460 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 5500 RPM,,50.0 x 55.6 mm (2.0 x 2.2 inches),2,Injection,Single Overhead Cams (SOHC),DC-CDI (Capacitor Discharge Ignition),,Air,4-speed,,Multi Plate Wet Clutch  and  Automatic Centrifugal Clutch ,,,,,,70/90-17 ,80/90-17 ,Single disc,,Expanding brake (drum brake),94.0 kg (207.2 pounds),0.0999 HP/kg,"669 mm (26.3 inches) If adjustable, lowest setting.",1071 mm (42.2 inches),1885 mm (74.2 inches),709 mm (27.9 inches),147 mm (5.8 inches),1221 mm (48.1 inches),3.70 litres (0.98 US gallons),"Red, black",Electric & kick,,,,,Alloy,,,,,,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonik Raptor,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",3.4 HP (2.4  kW)) @ 7500 RPM,,10.5:1,39.0 x 41.5 mm (1.5 x 1.6 inches),,Carburettor,,C.D.I.,,Air,Automatic,Belt   (final drive),,Steel,Telescopic hydraulic fork,,Dual shock with compression spring,,130/60-13 ,130/60-13 ,Single disc. Hydraulic. ,,Expanding brake (drum brake),99.0 kg (218.3 pounds),0.0338 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1760 mm (69.3 inches),650 mm (25.6 inches),140 mm (5.5 inches),1410 mm (55.5 inches),6.00 litres (1.59 US gallons),"Yellow,red, black",Electric & kick,,Chinese brand. Various engine options.,CVT,,,,,,,,,,,,50.0 km/h (31.1 mph),,,,Dual,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing F6B Deluxe,2014,Touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,,9.8:1,74.0 x 71.0 mm (2.9 x 2.8 inches),2,Injection. PGM-FI,Single Overhead Cams (SOHC),Computer-controlled digital with 3-D mapping,,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,45mm cartridge fork with anti-dive system,122 mm (4.8 inches),"Pro Arm® single-side swingarm with Pro-Link® single shock with remote-controlled spring preload adjustment, 4.1 inches travel",,130/70-R18 ,180/60-R16 ,Double disc. Floating discs. ,316 mm (12.4 inches),Single disc,,,"724 mm (28.5 inches) If adjustable, lowest setting.",,,,,1689 mm (66.5 inches),24.98 litres (6.60 US gallons),"Black, Pearl Yellow",Electric,,"Model ID: GL1800B. Deluxe version has centerstand, passenger backrest, heated grips, and self-cancelling turn signals.",,Saddle bags,,,6.92 litres/100 km (14.5 km/l or 33.99 mpg),160.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,29.2°,109 mm (4.3 inches),381.9 kg (842.0 pounds),,,,Meets current California Air Resources Board (CARB) and EPA standards.,Three Years. Unlimited milage. Transferable.,,,,,,,,,,,,,,,,,,,,,,,,
Senke X6,2014,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,108.0 ccm (6.59 cubic inches),"Single cylinder, two-stroke",,,,,,Carburettor,,,,,5-speed,Chain   (final drive),,Steel,Telescopic fork,,Twin shocks,,,,Single disc,,Single disc,100.0 kg (220.5 pounds),,,1070 mm (42.1 inches),1900 mm (74.8 inches),700 mm (27.6 inches),,1250 mm (49.2 inches),,"Red, black",Kick,,Made in China.,,,3-spoke black,,,,,,,,,,80.0 km/h (49.7 mph),,,,2-person seat,,,,,,,,,,,,,,,,,,,,,,
Sherco E-KID Enduro,2014,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,,,,,,,,,,,Automatic,Chain   (final drive),Electric,Steel perimetral frame (taken from the engine),28 mm  tele-hydraulic EBR,28 mm (1.1 inches),Monoshock,,2.50-10 ,3.50-10 ,Single disc. Nifo discs,,Single disc,22.0 kg (48.5 pounds),,"480 mm (18.9 inches) If adjustable, lowest setting.",,,,,800 mm (31.5 inches),,Yellow,Kick,,Spanish brand. LiFePo4 battery. Range: Map 1 - 2 hours / Map 2 - 3 hours.,,,,Brushless electric motor - 48 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Diavel Carbon,2014,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1198.4 ccm (73.13 cubic inches),"V2, four-stroke",162.0 HP (118.2  kW)) @ 9500 RPM,127.5 Nm (13.0 kgf-m or 94.0 ft.lbs) @ 8000 RPM,11.5:1,106.0 x 67.9 mm (4.2 x 2.7 inches),4,"Injection. Mitsubishi electronic fuel injection system, Mikuni elliptical throttle bodies with RbW",Desmodromic valve control,,,Liquid,6-speed,Chain   (final drive),"Light action, wet, multiplate clutch with hydraulic control. Self-servo action on drive, slipper action on over-run",Tubular steel Trellis frame,Marzocchi DLC coated 50mm fully adjustable usd forks,,Progressive linkage with fully adjustable Sachs monoshock. Remote spring preload adjustment. Aluminium single-sided swingarm,,120/70-ZR17 ,240/45-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,205.0 kg (451.9 pounds),0.7902 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,,1590 mm (62.6 inches),17.00 litres (4.49 US gallons),Red/black carbon,Electric,Handlebar mounted instrumentation with LCD display.,,"Front sprocket 15; Rear sprocket 43. Primary drive: Straight cut gears, ratio 1.84.",,,Testastretta 11° L-Twin,,,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,28.0°,130 mm (5.1 inches),234.0 kg (515.9 pounds),,,,Euro 3,2 years unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,
Daelim Besbi 125,2014,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,,56.0 x 50.7 mm (2.2 x 2.0 inches),2,Carburettor,,Electric/ECU,,Oil & air,Automatic,Chain   (final drive),,Under Bone,Telescopic fork,,Swing Arm,,3.50-10 ,3.50-10 ,Single disc,,Expanding brake (drum brake),105.0 kg (231.5 pounds),,"745 mm (29.3 inches) If adjustable, lowest setting.",,2025 mm (79.7 inches),778 mm (30.6 inches),135 mm (5.3 inches),1300 mm (51.2 inches),5.00 litres (1.32 US gallons),"White, black, blue",Electric,,Made in Korea.,CVT Twist  and  Go,,,,,,,,,,,35W halogen headlight,,Euro III,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha BWs Naked 50,2014,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.4  kW)) @ 6500 RPM,3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,7.2:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Carburettor. Gurtner,,CDI,Separate lubrication,Air,Automatic,Belt   (final drive),,Steel,Telescopic fork,70 mm (2.8 inches),Unit swing,70 mm (2.8 inches),120/90-10 ,150/80-10 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),83.0 kg (183.0 pounds),0.0388 HP/kg,"768 mm (30.2 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),1685 mm (66.3 inches),690 mm (27.2 inches),124 mm (4.9 inches),1172 mm (46.1 inches),5.30 litres (1.40 US gallons),"Red, grey",Electric & kick,,,,,Alloy wheels,,,,,,,,,Twin headlights,,,,,Dual seat with passenger grab handles,,,,,,,,,,,,,,,,,,,,,,
